"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Thakur G.; Kumar P.; Chen C.-M.; Vasilakos A.V.; Anchna; Prajapat S.","Thakur, Garima (58127115800); Kumar, Pankaj (57715882100); Chen, Chein-Ming (35072405000); Vasilakos, Athanasios V. (57200495061); Anchna (58631023400); Prajapat, Sunil (58178776800)","58127115800; 57715882100; 35072405000; 57200495061; 58631023400; 58178776800","A Robust Privacy-Preserving ECC-Based Three-Factor Authentication Scheme for Metaverse Environment","2023","Computer Communications","211","","","271","285","14","1","10.1016/j.comcom.2023.09.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173163734&doi=10.1016%2fj.comcom.2023.09.020&partnerID=40&md5=f56b4af215feacdb979e921a065203b2","Metaverse is revolutionizing the future iteration of technology with the potential to ameliorate efficiency and innovation drastically. It fashions engaging spaces for user interaction that simulate the real world by integrating augmented and virtual reality. Metaverse furnishes immersive interactive experiences, unrestricted time and space, visualizations, minimal learning costs, and endorses communication. A metaverse offers various services, such as virtual environments and avatars for telecommuting, education, and gaming. Yet, to access services, users must register with the server, where the registration requires user's identity, password, and personal information. Additionally, the user interaction in metaverse is mediated through avatars over public channels, fabricating opportunities for security attacks such as replay and impersonation attacks. Consequently, we propose a secure mutual authentication scheme for safer user-server and avatar–avatar interactions utilizing Elliptic Curve Cryptography (ECC) and fuzzy extractor. The security of protocol is examined with Burrows–Abadi–Needham (BAN) logic, Real-or-Random (ROR) model, and Automated Validation of Internet Security Protocols Applications (AVISPA). We also conduct a comparative analysis of the computational and communication costs and the security features of proposed scheme with pre-existing works. Hence, the suggested protocol offers magnificent security and efficiency, making it suitable for the metaverse environment. © 2023 Elsevier B.V.","Article","Final","","Scopus","2-s2.0-85173163734"
"Huang Y.","Huang, Yinqi (58639897000)","58639897000","Leveraging virtual reality to understand human spatial navigation","2023","Nature Reviews Psychology","2","11","","662","","","0","10.1038/s44159-023-00243-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173753610&doi=10.1038%2fs44159-023-00243-3&partnerID=40&md5=a5532bf9612f67922683f58dc6783d08","[No abstract available]","Article","Final","","Scopus","2-s2.0-85173753610"
"Fan X.; Tao B.; Tu P.; Shen Y.; Wu Y.; Chen X.","Fan, Xingqi (57457138100); Tao, Baoxin (57218294466); Tu, Puxun (57220778150); Shen, Yihan (56824656500); Wu, Yiqun (35235719200); Chen, Xiaojun (55739098400)","57457138100; 57218294466; 57220778150; 56824656500; 35235719200; 55739098400","A novel mixed reality-guided dental implant placement navigation system based on virtual-actual registration","2023","Computers in Biology and Medicine","166","","107560","","","","0","10.1016/j.compbiomed.2023.107560","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173626348&doi=10.1016%2fj.compbiomed.2023.107560&partnerID=40&md5=129f5b2a52110c64fc4a3dad301d0602","Backgrounds: The key to successful dental implant surgery is to place the implants accurately along the pre-operative planned paths. The application of surgical navigation systems can significantly improve the safety and accuracy of implantation. However, the frequent shift of the views of the surgeon between the surgical site and the computer screen causes troubles, which is expected to be solved by the introduction of mixed-reality technology through the wearing of HoloLens devices by enabling the alignment of the virtual three-dimensional (3D) image with the actual surgical site in the same field of view. Methods: This study utilized mixed reality technology to enhance dental implant surgery navigation. Our first step was reconstructing a virtual 3D model from pre-operative cone-beam CT (CBCT) images. We then obtained the relative position between objects using the navigation device and HoloLens camera. Via the algorithms of virtual-actual registration, the transformation matrixes between the HoloLens devices and the navigation tracker were acquired through the HoloLens-tracker registration, and the transformation matrixes between the virtual model and the patient phantom through the image-phantom registration. In addition, the algorithm of surgical drill calibration assisted in acquiring transformation matrixes between the surgical drill and the patient phantom. These algorithms allow real-time tracking of the surgical drill's location and orientation relative to the patient phantom under the navigation device. With the aid of the HoloLens 2, virtual 3D images and actual patient phantoms can be aligned accurately, providing surgeons with a clear visualization of the implant path. Results: Phantom experiments were conducted using 30 patient phantoms, with a total of 102 dental implants inserted. Comparisons between the actual implant paths and the pre-operatively planned implant paths showed that our system achieved a coronal deviation of 1.507 ± 0.155 mm, an apical deviation of 1.542 ± 0.143 mm, and an angular deviation of 3.468 ± 0.339°. The deviation was not significantly different from that of the navigation-guided dental implant placement but better than the freehand dental implant placement. Conclusion: Our proposed system realizes the integration of the pre-operative planned dental implant paths and the patient phantom, which helps surgeons achieve adequate accuracy in traditional dental implant surgery. Furthermore, this system is expected to be applicable to animal and cadaveric experiments in further studies. © 2023 Elsevier Ltd","Article","Final","","Scopus","2-s2.0-85173626348"
"Bai J.; Feng H.; Liu Z.; Han L.","Bai, Jiajia (58550305500); Feng, Haixia (57203951265); Liu, Zhong (58551039900); Han, Liyuan (58550305600)","58550305500; 57203951265; 58551039900; 58550305600","Comment on: Effects of Virtual Reality Rehabilitation Training on Cognitive Function and Activities of Daily Living of Patients With Poststroke Cognitive Impairment: A Systematic Review and Meta-Analysis","2023","Archives of Physical Medicine and Rehabilitation","104","11","","1969","1970","1","0","10.1016/j.apmr.2023.06.024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168816731&doi=10.1016%2fj.apmr.2023.06.024&partnerID=40&md5=5f689e9894dfdabd070bc12938043f3a","[No abstract available]","Letter","Final","","Scopus","2-s2.0-85168816731"
"Cha S.; Kim C.","Cha, Sukgyun (57203019892); Kim, Changsoon (56123281400)","57203019892; 56123281400","Transfer-printing phosphorescent OLEDs: Progress towards microdisplay applications","2023","Organic Electronics","122","","106891","","","","0","10.1016/j.orgel.2023.106891","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169917487&doi=10.1016%2fj.orgel.2023.106891&partnerID=40&md5=e44b7bf511b9f043dda1981b775696fa","Current shadow mask techniques for patterning organic light-emitting devices (OLEDs) face challenges in achieving high resolution required for virtual reality and augmented reality applications. We present a transfer-printing technique for fabricating phosphorescent OLEDs, where an organic layer is transferred from an elastomeric stamp onto a substrate pre-coated with an organic layer, via van der Waals interaction between the contacting organic materials. The transfer-printed phosphorescent OLEDs with two different light-emitting layers exhibit performance comparable to control OLEDs with all layers deposited by vacuum thermal evaporation. This is enabled by a diffusion-blocking, low-surface-energy perfluoropolyether coating on the stamp, ensuring a high-quality transfer-bonded interface allowing efficient charge transport. Furthermore, the high-resolution patterning capability of our technique is demonstrated by transfer-printing an array of 5-μm-diameter circular patterns of a phosphorescent light-emitting layer. © 2023 Elsevier B.V.","Article","Final","","Scopus","2-s2.0-85169917487"
"Raghavan R.; Raviv L.; Peeters D.","Raghavan, Renuka (58531462100); Raviv, Limor (57195611408); Peeters, David (53464091900)","58531462100; 57195611408; 53464091900","What's your point? Insights from virtual reality on the relation between intention and action in the production of pointing gestures","2023","Cognition","240","","105581","","","","0","10.1016/j.cognition.2023.105581","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167603790&doi=10.1016%2fj.cognition.2023.105581&partnerID=40&md5=64022b348c3a8cbf53fda9b30339ac8b","Human communication involves the process of translating intentions into communicative actions. But how exactly do our intentions surface in the visible communicative behavior we display? Here we focus on pointing gestures, a fundamental building block of everyday communication, and investigate whether and how different types of underlying intent modulate the kinematics of the pointing hand and the brain activity preceding the gestural movement. In a dynamic virtual reality environment, participants pointed at a referent to either share attention with their addressee, inform their addressee, or get their addressee to perform an action. Behaviorally, it was observed that these different underlying intentions modulated how long participants kept their arm and finger still, both prior to starting the movement and when keeping their pointing hand in apex position. In early planning stages, a neurophysiological distinction was observed between a gesture that is used to share attitudes and knowledge with another person versus a gesture that mainly uses that person as a means to perform an action. Together, these findings suggest that our intentions influence our actions from the earliest neurophysiological planning stages to the kinematic endpoint of the movement itself. © 2023 The Authors","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85167603790"
"Vanderburg J.L.; Welch L.; Beard C.; Gilbert R.; Loveland K.A.","Vanderburg, Juliana L. (57223191218); Welch, Laura (58181849200); Beard, Charlotte (57002541700); Gilbert, Richard (37080792600); Loveland, Katherine A. (57220381574)","57223191218; 58181849200; 57002541700; 37080792600; 57220381574","Associations between psychological distress, early adverse experiences, and choice of avatars in an immersive virtual world","2023","Computers in Human Behavior","148","","107902","","","","0","10.1016/j.chb.2023.107902","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171537852&doi=10.1016%2fj.chb.2023.107902&partnerID=40&md5=638d7e8ae6cf164ec28b9ce92441a1d8","Introduction: Virtual reality environments (VREs) are an emerging modality consisting of computer-generated worlds. Players in VREs can choose to create representative avatars. Such choices may reflect beliefs related to identity and psychological functioning. The aim of the present study was to examine associations between psychological distress, exposure to adverse childhood experiences, and choice of avatar in an immersive virtual environment. Methods: We recruited 436 participants in a VRE. Participants completed the Early Traumatic Inventory Self Report-Short Form and the Brief Symptom Inventory. We evaluated between-group differences (selection of child avatar, parent avatar, or “other” avatar, the control group) in psychological distress and traumatic childhood experiences. Results: Individuals who selected child avatars experienced a higher degree of psychological distress and childhood trauma, especially sexual abuse, as compared to individuals who selected other avatars. Individuals who selected parent avatars were more likely to have experienced psychological distress as compared to controls. Discussion: Avatar choice may reflect users’ identities and psychological functioning. VREs may provide safe environments for a “do over” of adverse childhood experiences. Future research should explore VREs as venues to treat trauma and psychological distress. © 2023","Article","Final","","Scopus","2-s2.0-85171537852"
"Umoren R.A.; Schmölzer G.M.","Umoren, Rachel A. (50562215900); Schmölzer, Georg M. (6602638022)","50562215900; 6602638022","Virtual simulations for neonatal education","2023","Seminars in Perinatology","47","7","151826","","","","0","10.1016/j.semperi.2023.151826","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173875896&doi=10.1016%2fj.semperi.2023.151826&partnerID=40&md5=0714473feac377c0ec871f533a20c81a","Virtual simulation (VS) education involves the use of virtual reality, augmented reality, mixed reality and screen-based platforms, collectively referred to as extended reality, to provide education and assessment. This novel simulation modality supports experiential learning and increases access to practice opportunities, supplementing manikin-based simulation. VS has been used successfully for neonatal resuscitation training in high and low resource settings. Virtual simulators can be used to objectively assess learner performance in neonatal resuscitation knowledge and skills. When implementing VS for neonatal resuscitation training, key considerations include matching learning objectives with suitable technology, pre-session preparation, supporting learners, and debriefing. Additional research is needed to evaluate the impact of VS applications on clinical practice and patient outcomes. © 2023 Elsevier Inc.","Article","Final","","Scopus","2-s2.0-85173875896"
"Fan Y.; Sun Z.; Wang G.","Fan, Yunsheng (36643802000); Sun, Zhe (57480301000); Wang, Guofeng (56175574400)","36643802000; 57480301000; 56175574400","A novel intelligent collision avoidance algorithm based on deep reinforcement learning approach for USV","2023","Ocean Engineering","287","","115649","","","","1","10.1016/j.oceaneng.2023.115649","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172872833&doi=10.1016%2fj.oceaneng.2023.115649&partnerID=40&md5=3849bebba1d70ef09eaace9c9e8924ba","Enhancing the efficiency of unmanned surface vehicles (USVs) collision avoidance can yield a significant impact, as it can result in safer navigation and lower energy consumption. This paper introduces a robust approach employing deep reinforcement learning theory to facilitate informed collision avoidance decisions within intricate maritime environments. The restrictions on USV maneuverability and international regulations for preventing collisions at sea are studied and quantified, particularly focusing on the shape and size changes of the ship's domain caused by USV speed. Based on the deep Q network, an improved methodology is designed, incorporating a noisy network, prioritized experience replay, dueling neural network architecture, and double Q learning, resulting in a highly efficient sampling, exploration, and learning process. To curtail computational expenses associated with USVs, a novel dynamic area restriction technique is proposed. Furthermore, an innovative USV state clipping method is introduced to mitigate training complexities. By utilizing the Unity platform, a virtual environment characterized by complexity and stochasticity is constructed for training and testing the collision avoidance of USVs This novel approach surpasses the performance of the pre-improvement algorithm across multiple collision avoidance effectiveness indicators and performance metrics. © 2023 Elsevier Ltd","Article","Final","","Scopus","2-s2.0-85172872833"
"Lee J.; Kim H.; Lee K.","Lee, Jiyeon (58377757200); Kim, Hyosu (56403545200); Lee, Kilho (55923454800)","58377757200; 56403545200; 55923454800","VRKeyLogger: Virtual keystroke inference attack via eavesdropping controller usage pattern in WebVR","2023","Computers and Security","134","","103461","","","","0","10.1016/j.cose.2023.103461","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170645712&doi=10.1016%2fj.cose.2023.103461&partnerID=40&md5=35c3ed5f06c3c5953554fae6078b4316","WebVR is an emerging technology that allows users to experience VR (Virtual Reality) through typical web browsers, providing an integrated environment for various VR applications. One important problem of the VR technology is how to securely interact with users, in particular, implementing secure text input. A promising approach is to use a virtual keyboard rendered as a VR object. The VR user can enter certain text by clicking a sequence of virtual keys through the VR controllers, and the input text is handled in a secure way. However, despite the sensitivity of the input text, we found that there is a critical vulnerability that the VR controllers are not properly protected. The VR controller status can be disclosed to malicious entities, imposing a severe threat that an attacker's website can infer the input text by eavesdropping and analyzing the VR controller's movements. To accurately infer the input, the attacker should address two challenges: 1) determining which clicks correspond to the virtual keyboard and 2) identifying which key is pressed. In this paper, we propose a new keystroke inference attack framework, VRKeyLogger, that addresses such challenges with two key components: key-click classifier and key-click identifier. The key-click classifier effectively distinguishes clicks on the virtual keyboard based on the SVM classifier trained by the major features of the VR controller uses. The key-click identifier then accurately identifies which key is pressed by transforming the clicked position into the local coordinate system of the virtual keyboard. We implemented a proof-of-concept prototype and conducted a user study with nine participants. In the extensive user study with three real-world WebVR applications, our VRKeyLogger results in classification and identification accuracy of 93.98 and 96.8% on average, respectively. This implies that the proposed attack poses a serious threat to WebVR security. © 2023 Elsevier Ltd","Article","Final","","Scopus","2-s2.0-85170645712"
"Kambhampati S.B.S.; Menon J.; Maini L.","Kambhampati, Srinivas B. S. (23004796100); Menon, Jagdish (8717526800); Maini, Lalit (7003919139)","23004796100; 8717526800; 7003919139","Ethics in Research and Publications","2023","Indian Journal of Orthopaedics","57","11","","1722","1734","12","0","10.1007/s43465-023-00971-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168881679&doi=10.1007%2fs43465-023-00971-x&partnerID=40&md5=e9cb857e64380318c8af47ba957f5edb","Background: The purpose of this study is to present a comprehensive overview of the ethical issues and the processes involved in research and publishing in India. The study examines the present ethical norms, guidelines, frameworks and developments in India, providing insights into the nation’s current status of research and recommendations for publication. This document will be a useful starting point and reference document for those embarking on research and publication in Orthopaedics in India. Materials: A survey of the literature was done, which included scholarly papers, reports, rules, and policies pertaining to Indian publishing norms and research ethics. the document starts with a general introduction to ethics, followed by the evolution of ethics in research and the current International as well as Indian codes of ethics. Subsequently, the discussion is divided into two broad headings of ethics in research and ethics in publishing. Under each heading, there are many specific areas in orthopaedics that would require the application of a unique set of ethics. These areas are discussed separately as subheadings. Results and Discussion: The review draws attention to the complexity of ethical issues in Indian and international research and publishing in orthopaedics. Where available, specific guidelines about the topic in India or international guidelines are discussed. The importance of informed consent, data integrity, plagiarism, authorship disputes, and conflicts of interest are only a few of the key results. It is obvious that ethical norms and regulations, such as those offered by the University Grants Commission (UGC), the Indian Council of Medical Research (ICMR), and the Council of Publication Ethics (COPE) are crucial in determining how research is conducted and how papers are published. The types of studies discussed include research in humans and animals, research with stem cells, metal implants and devices, orthobiologics, Artificial Intelligence, Robotics, computer modelling, virtual reality, 3D printing and bioprinting, tissue banking and data management. The roles of different personnel in research and publications are discussed. Conclusions: Ethics in research and publishing play a crucial role in establishing the authority and standard of scholarly work in India. This study underlines the key concepts of ethics that guide various types of studies and the publication process. It also highlights the requirement for frameworks and guidelines for certain unique areas of research in orthopaedics. © 2023, Indian Orthopaedics Association.","Review","Final","","Scopus","2-s2.0-85168881679"
"Jaquez S.D.; Haller C.N.; England M.E.; Bruinsma R.L.; Arbet G.; Croce E.A.; Ruth J.; Levy M.L.; Diaz L.Z.","Jaquez, Sasha D. (57195296806); Haller, Courtney N. (57367699000); England, Maryann E. (58640446300); Bruinsma, Raquel L. (57210957412); Arbet, Gregory (58639875500); Croce, Emily A. (57208327152); Ruth, Jennifer (57191976685); Levy, Moise L. (35426283900); Diaz, Lucia Z. (7202387344)","57195296806; 57367699000; 58640446300; 57210957412; 58639875500; 57208327152; 57191976685; 35426283900; 7202387344","Virtual reality and noise canceling headphone distraction during pediatric dermatologic procedures","2023","Pediatric Dermatology","40","6","","1161","1163","2","0","10.1111/pde.15401","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173787176&doi=10.1111%2fpde.15401&partnerID=40&md5=66a72cf9380a802298c6795fd11dc77d","Pain and anxiety related to medical procedures have long been recognized as a significant healthcare concern. If a patient's procedural pain and anxiety are not addressed, long-term physical and psychological sequelae including increased perceived pain, anxiety, disruptive behavior, trauma reactions, or refusal of future procedures can occur. The objective of our study was to assess the utility of a virtual reality (VR) headset or noise-canceling headphones (HP) compared to treatment as usual (TAU) in reducing pain and anxiety during pediatric dermatology procedures. Results indicated a significant difference between pre- versus post-procedure anxiety in the VR and HP groups but not the TAU group suggesting non-pharmacologic technology-based interventions such as VR and headphones may reduce patients' anxiety during pediatric dermatology procedures. © 2023 Wiley Periodicals LLC.","Article","Final","","Scopus","2-s2.0-85173787176"
"Momcilovic V.; Dimitrijevic B.; Stokic M.","Momcilovic, Vladimir (35242934900); Dimitrijevic, Branka (54419829600); Stokic, Marko (57210189076)","35242934900; 54419829600; 57210189076","Supercapacitor electric bus modeling and simulation framework","2023","Energy","282","","129020","","","","1","10.1016/j.energy.2023.129020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170406034&doi=10.1016%2fj.energy.2023.129020&partnerID=40&md5=4f6629332e6b848fe571501811a7e456","Electric buses or e-buses represent a viable zero-emission bus option for decarbonizing urban mobility. Numerous pilots and experiments are ongoing mainly throughout Europe, Americas and Asia in order to assure their feasibility in different actual operating conditions since 2012. As public transport (PT) ridership has decreased worldwide since COVID-19, it is essential to upkeep its previously attained quality-of-service so as not to compromise further PT users’ loyalty. So-called range anxiety represents a major e-bus implementation challenge. Therefore, a dedicated yet inexpensive e-bus modeling and simulation framework is developed to do the trick for testing multiple e-bus configuration options impact by analyzing its energy and environmental results in actual conditions of operation, topography, weather, traffic with real world driving data in virtual environments without negative consequences on PT ridership. © 2023 Elsevier Ltd","Article","Final","","Scopus","2-s2.0-85170406034"
"Karana Z.; Paun O.","Karana, Zina (58622666500); Paun, Olimpia (6602435023)","58622666500; 6602435023","Dementia Simulation for Family Caregivers of Persons With Dementia: A Scoping Review","2023","Western Journal of Nursing Research","45","11","","1053","1062","9","0","10.1177/01939459231201085","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172710066&doi=10.1177%2f01939459231201085&partnerID=40&md5=f00c38a9bdfa0c53ad571a929f31e0da","Background: Alzheimer’s disease and related dementias are becoming increasingly prevalent worldwide. Persons with dementia receive substantial assistance from family caregivers over extended periods of time. Family caregivers of persons with dementia are twice as likely to report physical, emotional, and financial challenges related to caregiving compared with other types of family caregivers. Empathy has been demonstrated to improve caregivers’ quality of life and their relationships with care recipients. Objective: This scoping review examines the current literature on the effects of dementia simulation on empathy levels in family caregivers of persons with dementia. Methods: A librarian-assisted search of 4 databases—PubMed, CINAHL (Cumulative Index to Nursing and Allied Health Literature), PsycINFO, and Scopus—was conducted. Key terms included “dementia,” “family caregivers,” and “simulation.” To broaden reference retrieval, “empathy” was not used as a key term but remained an inclusion criterion during reference screening. Data extraction of relevant references was completed. Results: The search yielded 212 citations. Seven eligible dementia simulation studies were identified, including 1 randomized controlled trial, 3 quasi-experimental studies, and 3 qualitative research studies. Only 3 of the 7 studies focused specifically on family caregivers of persons with dementia. Conclusions: Qualitative data supported increased empathy in family caregivers, but quantitative findings on changes in empathy levels were inconclusive. Further research using quantitative or mixed-methods designs is necessary to support benefits of simulation on empathy for family caregivers of persons with dementia. © The Author(s) 2023.","Review","Final","","Scopus","2-s2.0-85172710066"
"Ni P.; Guidi B.; Michienzi A.; Zhu J.","Ni, Peikun (57217104599); Guidi, Barbara (55508220500); Michienzi, Andrea (57200819181); Zhu, Jianming (55574210194)","57217104599; 55508220500; 57200819181; 55574210194","Equilibrium of individual concern-critical influence maximization in virtual and real blending network","2023","Information Sciences","648","","119646","","","","0","10.1016/j.ins.2023.119646","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169839377&doi=10.1016%2fj.ins.2023.119646&partnerID=40&md5=1a69d6d04cabc65eb7d36412505d8ce6","Recently, the Metaverse has received much attention, especially from large companies, such as Meta. The social nature of the Metaverse opens new ways for immersive social interactions that combine the strengths of physical and virtual worlds. This scenario creates new possibilities for social interactions that can worsen problems like the Echo chamber or the information cocoon effects. In this work, we devise a virtual and real blending network environment and introduce the concern vector indicator to explore the equilibrium of individual concern-critical influence maximization (EIC-cIM). We compute the complexity of the EIC-cIM and verify the modularity of the objective function. A surrogate objective function is introduced to tackle the problem of the EIC-cIM. We exploit the continuous relaxation technique to develop an approximate projected subgradient algorithm, which effectively guarantees the balance of individual concern in the information diffusion process. The experimental simulations on three network data sets demonstrate the effectiveness of our method, and the experimental results show that our proposed algorithm outperforms the existing heuristic algorithms by at least 23% in performance and even outperforms the max-greedy algorithm in some cases. © 2023 Elsevier Inc.","Article","Final","","Scopus","2-s2.0-85169839377"
"Johnston L.C.; Robin B.","Johnston, Lindsay C. (55655659100); Robin, Beverley (56505110800)","55655659100; 56505110800","Introduction: Update on simulation in neonatology","2023","Seminars in Perinatology","47","7","151829","","","","0","10.1016/j.semperi.2023.151829","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173065332&doi=10.1016%2fj.semperi.2023.151829&partnerID=40&md5=ec7f8f2130ca94e6630b86079d6d5ca7","[No abstract available]","Editorial","Final","","Scopus","2-s2.0-85173065332"
"Jido J.T.; Al-Wizni A.","Jido, Jamila Tukur (58608667300); Al-Wizni, Ahmed (57297669600)","58608667300; 57297669600","Letter to the Editor: Efficacy of virtual plastic surgery health encounters in the establishment of care and surgical conversion","2023","Journal of Plastic, Reconstructive and Aesthetic Surgery","86","","","205","206","1","0","10.1016/j.bjps.2023.08.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171804656&doi=10.1016%2fj.bjps.2023.08.028&partnerID=40&md5=03b8adaa60d24e8a29a2bd01939ce306","[No abstract available]","Letter","Final","","Scopus","2-s2.0-85171804656"
"Castilla N.; Luis Higuera-Trujillo J.; Llinares C.","Castilla, Nuria (57193446022); Luis Higuera-Trujillo, Juan (58608947100); Llinares, Carmen (15848867000)","57193446022; 58608947100; 15848867000","Exploring lighting conditions to reduce energy consumption and improve cognitive performance using immersive virtual environments","2023","Energy and Buildings","298","","113496","","","","0","10.1016/j.enbuild.2023.113496","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171765386&doi=10.1016%2fj.enbuild.2023.113496&partnerID=40&md5=b5370fdeda5d3f36e6f16816c8982d14","The global energy crisis has created an urgent demand to decrease the energy that buildings consume. In universities, the situation is complicated as campuses need to have a high level of comfort and, therefore, consume more energy than other building types. Lighting accounts for a high percentage of this energy expenditure and urgent measures are required to reduce this consumption and, thus, costs. A further complication is that lighting has been shown to have an important influence on cognitive learning processes. One such process is memory, which has a fundamental influence on modern society. In this study, we analyse the psychological responses of 143 students in a memory task in a virtual classroom using three illuminance levels (100 lx, 300 lx and 500 lx) and four colour temperatures (3000 K, 4000 K, 6500 K and 10500 K). The results showed that lighting conditions influence memory. The combination of 100 lx and 6500 K produced the best memory performance. The results showed that varying lighting parameters can significantly reduce the energy expenditure of educational centres and, in turn, provide better cognitive outcomes for students. © 2023 Elsevier B.V.","Article","Final","","Scopus","2-s2.0-85171765386"
"Abu Sufian M.; Hussain N.; Kim N.","Abu Sufian, Md. (57923496500); Hussain, Niamat (57190344402); Kim, Nam (35494120000)","57923496500; 57190344402; 35494120000","Quasi-binomial series-fed array for performance improvement of millimeter-wave antenna for 5G MIMO applications","2023","Engineering Science and Technology, an International Journal","47","","101548","","","","0","10.1016/j.jestch.2023.101548","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173144825&doi=10.1016%2fj.jestch.2023.101548&partnerID=40&md5=dc0343e2c78a5dc94bd5005ddf9ee81a","A quad-port MIMO antenna based on a quasi-binomial series-fed array is presented in this paper for n257 and n258 millimeter-wave applications with an investigation of additional loaded patches on performance enhancement of the conventional binomial series-fed array. The single element of the proposed MIMO is a 3 × 3 element planar binomial series-fed array whose width of the radiating elements is tapered to achieve the binomial distribution. From both simulated and tested results, it is observed that a wider bandwidth (S11 < –10 dB of 21.78 %), high peak gain (12.4 dBi), and high radiation efficiency (92 %) with side lobe level (SLL) reduction of more than 9 dB are achieved by additional loaded patches. This design approach does not only offer wider bandwidth, low SLL, and gain increment, but also ensures the excellent diversity performances of the very closely spaced (0.116λ) MIMO antenna, without utilizing any additional decoupling structure. The proposed MIMO antenna system offers impedance bandwidth (S11 < − 10 dB) from 24.6 GHz to 30.59 GHz, isolation > 27 dB, envelope correlation coefficient < 0.0002, diversity gain > 9.99 dB, and mean effective gain between –4 dB and –8 dB. Owing to its performance attributes, the proposed antenna is an excellent choice for 5G millimeter-wave communication devices, including but not limited to enormous IoT, smart cities, and virtual reality. © 2023 Karabuk University","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85173144825"
"Feola L.; Reina A.; Talamali M.S.; Trianni V.","Feola, Luigi (55516074700); Reina, Andreagiovanni (50361713400); Talamali, Mohamed S. (57204495752); Trianni, Vito (6603456867)","55516074700; 50361713400; 57204495752; 6603456867","Multi-Swarm Interaction Through Augmented Reality for Kilobots","2023","IEEE Robotics and Automation Letters","8","11","","6907","6914","7","0","10.1109/LRA.2023.3312031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171525612&doi=10.1109%2fLRA.2023.3312031&partnerID=40&md5=401a89291fff4ef04f0a397a81697bcc","Research with swarm robotics systems can be complicated, time-consuming, and often expensive in terms of space and resources. The situation is even worse for studies involving multiple, possibly heterogeneous robot swarms. Augmented reality can provide an interesting solution to these problems, as demonstrated by the ARK system (Augmented Reality for Kilobots), which enhanced the experimentation possibilities with Kilobots, also relieving researchers from demanding tracking and logging activities. However, ARK is limited in mostly enabling experimentation with a single swarm. In this letter, we introduce M-ARK, a system to support studies on multi-swarm interaction. M-ARK is based on the synchronisation over a network connection of multiple ARK systems, whether real or simulated, serving a twofold purpose: i) to study the interaction of multiple, possibly heterogeneous swarms, and ii) to enable a gradual transition from simulation to reality. Moreover, M-ARK enables the interaction between swarms dislocated across multiple labs worldwide, encouraging scientific collaboration and advancement in multi-swarm interaction studies. © 2023 IEEE.","Article","Final","","Scopus","2-s2.0-85171525612"
